Name,RA_2000,Dec_2000,V,SpType,D(pc),P(%),Ref
HD 105,00 05 52.5,-41 45 11,7.53,G0V,40H,100,"Z,S"
HD 987,00 13 53.0,-74 41 18,8.78,G8V,44H,100,"Z,S"
HD 1466,00 18 26.1,-63 28 39,7.45,F8V,41H,100,Z
HIP 1910,00 24 09.0,-62 11 04,11.49*,M0Ve,44,100,Z
CT Tuc,00 25 14.7,-61 30 48,11.47,M0Ve,43,100,Z
HD 2884,00 31 32.7,-62 57 30,4.36,B9V,43H,90,Z
HD 2885,00 31 33.5,-62 57 56,4.77*,A2V,46,100,Z
HD 3003,00 32 43.9,-63 01 53,5.07,A0V,47H,100,Z
HD 3221,00 34 51.2,-61 54 58,9.61,K4Ve,46H,100,"Z,S"
CD-78 24,00 42 20.3,-77 47 40,10.21,K3Ve,50,100,S
HD 8558,01 23 21.3,-57 28 51,8.51,G7V,49H,100,"Z,S"
CC Phe,01 28 08.7,-52 38 19,9.07,K1V,37H,100,"Z,S"
DK Cet,01 57 49.0,-21 54 05,8.66*,G4V,42H,100,"Z,S"
HD 13183,02 07 18.1,-53 11 57,8.63,G7V,50H,100,"Z,S"
HD 13246,02 07 26.1,-59 40 46,7.50,F7V,45H,100,"Z,S"
CD-60 416,02 07 32.2,-59 40 21,10.68,K5Ve,48,100,"Z,S"
Eri,02 16 30.6,-51 30 44,3.56,B8V,47H,100,Z
Hyi,02 39 35.4,-68 16 01,4.12,B9IV,47H,85,Z
CD-53 544,02 41 46.8,-52 59 52,10.22,K6Ve,42,100,"Z,S"
AF Hor,02 41 47.3,-52 59 31,12.21,M2Ve,42,100,"Z,S"
CD-58 553,02 42 33.0,-57 39 37,10.98,K5Ve,50,100,"Z,S"
CD-35 1167,03 19 08.7,-35 07 00,11.12,K7Ve,44,100,S
CD-46 1064,03 30 49.1,-45 55 57,9.55,K3Ve,44,100,S
CD-44 1173,03 31 55.7,-43 59 14,10.90,K6Ve,42,100,S
HD 22213,03 34 16.4,-12 04 07,8.85,G7V,48,95,S
HD 22705,03 36 53.4,-49 57 29,7.65*,G2V,42H,100,Z
BD-12 943,04 36 47.1,-12 09 21,9.86,K0V,69,100,S
HD 29615,04 38 43.9,-27 02 02,8.47,G3V,55H,100,"Z,S"
HD 30051,04 43 17.2,-23 37 42,7.12,F2IV,58H,100,Z
TYC8083-0455,04 48 00.7,-50 41 26,11.53,K7Ve,46,90,S
HD 32195,04 48 05.2,-80 46 45,8.14,F7V,60H,80,Z
BD-20 951,04 52 49.5,-19 55 02,10.33*,K1V(e),72,90,S
BD-19 1062,04 59 32.0,-19 17 42,10.65,K3V(e),68,90,S
BD-09 1108,05 15 36.5,-09 30 51,9.79,G5V,78,85,S
CD-30 2310,05 18 29.1,-30 01 32,11.66,K4Ve,65,90,S
%T8096-0414,05 33 25.6,-51 17 13,11.74,K7Ve,22.6,,90
%CD-39 2075,05 37 05.3,-39 32 26,9.52,K1V(e),16.4,,
%HD 42270,05 53 29.3,-81 56 33,9.14,K0V(e),18.3,,
Pav,20 25 38.9,-56 44 06,1.91,B2IV,56H,100,Z
HD 202917,21 20 50.0,-53 02 03,8.69,G7V,46H,100,"Z,S"
%T9486-0927,21 25 27.6,-81 38 28,11.85,M2Ve,28.7,,
HIP 107345,21 44 30.1,-60 58 39,11.61,M0Ve,47,100,"Z,S"
HD 207575,21 52 09.7,-62 03 09,7.22,F6V,45H,100,Z
HD 207964,21 55 11.4,-61 53 12,6.56*,F0IV,47H,100,Z
TYC9344-0293,23 26 10.7,-73 23 50,11.83*,M0Ve,46,100,S
CD-86 147,23 27 49.4,-86 13 19,9.29,G8IV,60,85,S
HD 222259B,23 39 39.1,-69 11 40,9.84,K3Ve,46H,100,"Z,S"
DS Tuc,23 39 39.5,-69 11 45,8.49,G6V,46H,100,"Z,S"
